Wall time,Step,Value
1774127734.0198667,281,0.08799999952316284
1774127803.8276744,563,0.1979999989271164
1774127874.095223,845,0.2240000069141388
1774127944.3077126,1127,0.3240000009536743
1774128014.4775271,1409,0.3140000104904175
1774128084.3950446,1691,0.3400000035762787
1774128154.5368533,1973,0.3499999940395355
1774128224.537922,2255,0.3240000009536743
1774128294.1679213,2537,0.3400000035762787
1774128364.371264,2819,0.3720000088214874
1774128434.4498641,3101,0.3059999942779541
1774128504.3569221,3383,0.3700000047683716
1774128574.5508864,3665,0.421999990940094
1774128644.357387,3947,0.38999998569488525
1774128714.2212887,4229,0.4000000059604645
1774128784.4844944,4511,0.37400001287460327
1774128854.52706,4793,0.421999990940094
1774128924.341901,5075,0.41999998688697815
1774128994.2910562,5357,0.4519999921321869
1774129064.4141345,5639,0.44999998807907104
1774129134.3411238,5921,0.44999998807907104
1774129204.4781685,6203,0.43799999356269836
1774129274.2498338,6485,0.4659999907016754
1774129343.8539698,6767,0.47200000286102295
1774129413.4526575,7049,0.4399999976158142
1774129483.4990344,7331,0.5099999904632568
1774129553.406467,7613,0.46399998664855957
1774129623.3324778,7895,0.48399999737739563
1774129693.4615119,8177,0.46399998664855957
1774129763.4184012,8459,0.5059999823570251
1774129833.202552,8741,0.4740000069141388
1774129903.155633,9023,0.49399998784065247
1774129973.0198839,9305,0.5220000147819519
1774130043.461815,9587,0.49799999594688416
1774130113.5767162,9869,0.492000013589859
1774130183.2146494,10151,0.492000013589859
